Mitarbeiter ID,Mitarbeiterprofil,Datum (Tagnummer),Dienstnummer,Dienstart,Punkteverteilung Dienstwunsch,Wunscherfüllung,test
1111,1,20170701,F1,1,2,TRUE,10
1112,2,20170701,G1,2,0,TRUE,10
1113,1,20170701,F2,1,0,TRUE,10
1114,2,20170701,S1,3,1,FALSE,10
1115,1,20170701,G2,2,3,FALSE,10
1116,1,20170701,G3,2,3,FALSE,10
1117,1,20170701,S2,3,0,FALSE,10
1118,1,20170701,F3,1,0,TRUE,10
1119,1,20170701,F4,1,1,TRUE,10
1120,3,20170701,G4,2,3,FALSE,10
1121,1,20170701,F5,1,0,TRUE,10
1122,2,20170701,S3,3,2,FALSE,10
1123,1,20170701,F6,1,3,TRUE,10
1124,1,20170701,G5,2,2,FALSE,10
1125,2,20170701,F7,1,0,FALSE,10
1126,3,20170701,G6,2,0,FALSE,10
1127,1,20170701,F8,1,0,TRUE,10
1128,2,20170701,S7,3,2,FALSE,10
1129,1,20170701,G7,2,3,FALSE,10
1130,3,20170701,G8,2,1,FALSE,10
1131,3,20170701,F9,1,3,FALSE,10
1132,3,20170701,G9,2,1,FALSE,10
1133,1,20170701,F10,1,2,TRUE,10
1134,1,20170701,G10,2,2,FALSE,10
1135,1,20170701,G11,2,2,FALSE,10
1136,3,20170701,G12,2,1,FALSE,10
1137,3,20170701,S4,3,0,TRUE,10
1138,3,20170701,S5,3,3,TRUE,10
1139,3,20170701,F11,1,1,FALSE,10
1140,1,20170701,G13,2,0,FALSE,10